,batch_size_64
0,2.864046573638916
1,2.8360331058502197
2,2.790228843688965
3,2.680178642272949
4,2.597663640975952
5,2.2959961891174316
6,2.284792423248291
7,2.2113444805145264
8,2.1740267276763916
9,1.846197247505188
10,2.039487361907959
11,1.744528889656067
12,1.6842966079711914
13,1.81741201877594
14,1.676682710647583
15,1.6138174533843994
16,1.2996379137039185
17,1.4873977899551392
18,1.5771350860595703
19,1.6403409242630005
20,1.728294014930725
21,1.2364988327026367
22,1.2551788091659546
23,1.017320990562439
24,1.0964275598526
25,1.0003066062927246
26,0.9956384301185608
27,0.7418431639671326
28,0.9613544940948486
29,0.7015042901039124
30,0.8041058778762817
31,0.582787275314331
32,0.8329010009765625
33,0.7614766359329224
34,0.7191959023475647
35,0.6079416275024414
36,0.3571159839630127
37,0.4657958149909973
38,0.53165203332901
39,0.4313795864582062
40,0.23783911764621735
41,0.3688776195049286
42,0.37700173258781433
43,0.23226626217365265
44,0.39480769634246826
45,0.16394244134426117
46,0.2597914934158325
47,0.18184997141361237
48,0.07119529694318771
49,0.07030003517866135
50,0.05959954485297203
51,0.09866531938314438
52,0.2817273437976837
53,0.2094416320323944
54,0.12509173154830933
55,0.04058421030640602
56,0.07064437866210938
57,0.22793927788734436
58,0.11798109114170074
59,0.02255636267364025
