,batch_size_4,batch_size_32,batch_size_64
0,0.44775480031967163,1.3101325035095215,2.1102294921875
1,0.053489141166210175,0.5196479558944702,1.3039861917495728
2,0.05948610603809357,0.16495376825332642,0.5865623950958252
3,0.2994396984577179,0.16336221992969513,0.36686933040618896
4,0.0012957496801391244,0.09344413876533508,0.26937344670295715
5,0.4681815207004547,0.04066929593682289,0.22760392725467682
6,0.08266687393188477,0.04281436651945114,0.10890993475914001
7,0.0008980982820503414,0.041628628969192505,0.10320174694061279
8,0.006122341845184565,0.018827106803655624,0.06607623398303986
9,0.001308138482272625,0.02486610785126686,0.06367021799087524
10,0.6710217595100403,0.029078098013997078,0.05356263741850853
11,0.004423430189490318,0.02905636839568615,0.055778227746486664
12,0.0011067993473261595,0.021841982379555702,0.052357595413923264
13,0.0003046810161322355,0.022047052159905434,0.04810384660959244
14,0.00021349501912482083,0.020806994289159775,0.034408796578645706
15,0.008263434283435345,0.018394017592072487,0.03458124026656151
16,0.012497355230152607,0.008847391232848167,0.02023419365286827
17,0.00172380730509758,0.011291534639894962,0.027575049549341202
18,0.039526503533124924,0.009399632923305035,0.021527040749788284
19,0.24794715642929077,0.006349376868456602,0.023179717361927032
20,0.00071433448465541,0.007064006756991148,0.026922233402729034
21,0.00046991545241326094,0.004004579037427902,0.02052425779402256
22,0.11666577309370041,0.007987168617546558,0.01367943175137043
23,0.0006479634321294725,0.008756699040532112,0.01834142953157425
24,0.00015610984701197594,0.00694222841411829,0.015660680830478668
25,5.250092506408691,0.0049018412828445435,0.01628892682492733
26,0.00012721589882858098,0.00429114606231451,0.013176091946661472
27,0.0005426090210676193,0.009833570569753647,0.012982966378331184
28,0.0003432407684158534,0.004693166818469763,0.018102627247571945
29,0.0004312940000090748,0.009012727998197079,0.01027236320078373
30,0.0034718967508524656,0.009122241288423538,0.013111176900565624
31,0.00016965207760222256,0.008981994353234768,0.007855327799916267
32,0.0007720593130216002,0.004038333892822266,0.00920987967401743
33,0.010742436163127422,0.003629028797149658,0.007884589955210686
34,0.043595921248197556,0.007745526731014252,0.009892095811665058
35,0.00016783311730250716,0.00589327234774828,0.009691108949482441
36,0.000534982536919415,0.007180997636169195,0.009616834111511707
37,0.0003227759734727442,0.004251726903021336,0.011128808371722698
38,0.0009602167992852628,0.002962963655591011,0.006847820710390806
39,0.0002422956022201106,0.012479472905397415,0.006796984001994133
40,0.043314483016729355,0.003376377746462822,0.011967513710260391
41,0.0027704602107405663,0.0070981914177536964,0.006456582807004452
42,0.0002290737465955317,0.0026463130488991737,0.007907109335064888
43,0.0004934163298457861,0.0036220187321305275,0.012717943638563156
44,0.053000859916210175,0.0032265272457152605,0.008619691245257854
45,0.00010429774556541815,0.004509876947849989,0.005604628007858992
46,0.0006727920263074338,0.004258039407432079,0.009767265059053898
47,0.0016726432368159294,0.002383305924013257,0.005217202939093113
48,0.00038877720362506807,0.0037548437248915434,0.008834879845380783
49,0.0005038083181716502,0.0023930585011839867,0.007114472799003124
50,0.00036440114490687847,0.0027211569249629974,0.006866456009447575
51,0.0015553771518170834,0.0020815874449908733,0.0060690222308039665
52,0.0005290948320180178,0.003276779316365719,0.004765501245856285
53,0.00014732530689798295,0.0027750914450734854,0.004606462549418211
54,5.3162832045927644e-05,0.0010718517005443573,0.00717138359323144
55,2.950376074295491e-05,0.0016757994890213013,0.004956230986863375
56,0.00012563132622744888,0.007920865900814533,0.00542756263166666
57,0.0002867155708372593,0.002119956072419882,0.0032256387639790773
58,0.002052227035164833,0.0015666538383811712,0.005468882154673338
59,0.00010745869803940877,0.0021605927031487226,0.006518784910440445
