,0
0,1.7648165225982666
1,2.104304075241089
2,2.139955520629883
3,1.2614368200302124
4,1.5361027717590332
5,1.7357620000839233
6,0.7792975306510925
7,1.2320587635040283
8,0.8995630741119385
9,1.0014797449111938
10,1.1011942625045776
11,1.4247807264328003
12,1.119089126586914
13,0.642398476600647
14,0.4775041341781616
15,0.7379201650619507
16,1.190717339515686
17,0.4449295103549957
18,0.5182206034660339
19,0.44075915217399597
20,0.5205723643302917
21,0.5267770886421204
22,0.5302590727806091
23,0.41170546412467957
24,0.4163430333137512
25,0.42570459842681885
26,0.07275965809822083
27,0.04368303716182709
28,0.14301609992980957
29,0.6679779291152954
30,0.008990861475467682
31,0.070789635181427
32,0.09378593415021896
33,0.003094943007454276
34,0.033817313611507416
35,0.09478750824928284
36,0.0336601622402668
37,0.004233599174767733
38,0.06506005674600601
39,0.07233204692602158
40,0.8479517102241516
41,0.0029527146834880114
42,0.07122049480676651
43,0.0007166382274590433
44,0.0023092811461538076
45,0.0014899425441399217
46,0.04702962562441826
47,0.0006234159227460623
48,0.1305510699748993
49,0.0008650718373246491
50,0.014208481647074223
51,0.000627888017334044
52,0.059861186891794205
53,0.0017147382022812963
54,0.00509614497423172
55,0.0005108492914587259
56,0.14041948318481445
57,0.048521675169467926
58,0.010999293997883797
59,0.0017919243546202779
