,0
0,0.6476233005523682
1,0.31165939569473267
2,1.0345960855484009
3,0.20146891474723816
4,0.2718501687049866
5,0.2610557973384857
6,0.3238292634487152
7,0.05055602267384529
8,0.6819557547569275
9,0.00603242963552475
10,0.1369243711233139
11,0.1643727421760559
12,0.012517505325376987
13,0.06455156207084656
14,0.36492475867271423
15,0.01845659874379635
16,0.008697127923369408
17,0.03943589702248573
18,0.0035360499750822783
19,0.2186833918094635
20,0.020358260720968246
21,0.48688533902168274
22,0.03766441345214844
23,0.020975731313228607
24,0.029798507690429688
25,0.008207594975829124
26,0.0022065381053835154
27,0.006347973830997944
28,0.03208256512880325
29,5.329307896317914e-05
30,0.021944157779216766
31,0.002360711572691798
32,0.012954771518707275
33,0.008748698979616165
34,0.025056462734937668
35,7.846442895242944e-05
36,6.552174454554915e-05
37,0.00014049708261154592
38,0.00026010393048636615
39,0.025091512128710747
40,0.06765569001436234
41,0.0008782201330177486
42,0.05903007835149765
43,0.004377556964755058
44,0.00017272922559641302
45,0.0007964011165313423
46,0.0004301691660657525
47,0.001058051479049027
48,0.005677526351064444
49,0.00026184471789747477
50,0.0028800456784665585
51,0.013516338542103767
52,0.2399786412715912
53,0.00018943149188999087
54,4.271047146175988e-05
55,6.602822395507246e-05
56,0.005392441060394049
57,0.0017219659639522433
58,0.0004348330257926136
59,0.0025760193821042776
