,0
brightness,2.4960332149505615
contrast,5.084964560317993
defocus_blur,1.94390515563488
elastic_transform,1.8935431601524353
fog,4.172970077896118
frost,2.5809594522953034
gaussian_blur,2.0815373527050016
gaussian_noise,1.8573963626384735
glass_blur,1.982327505326271
impulse_noise,2.1313450891971586
jpeg_compression,1.744563000512123
motion_blur,2.2553380240917207
pixelate,1.761041931605339
saturate,2.685928294312954
shot_noise,1.8498457808971405
snow,2.5530232948303224
spatter,2.134213554859161
speckle_noise,1.83781338698864
zoom_blur,2.1346298787593843
