,0
brightness,1.0210248799443244
contrast,4.969076708984375
defocus_blur,1.8696850437641144
elastic_transform,1.3823355037808418
fog,2.9114874015808105
frost,1.6529344188690185
gaussian_blur,2.164430609679222
gaussian_noise,2.045444504928589
glass_blur,2.271361539840698
impulse_noise,3.200136918640137
jpeg_compression,1.0225728533506393
motion_blur,2.0059239443540573
pixelate,1.2215246573477982
saturate,1.2332870364308357
shot_noise,1.9454748783826827
snow,1.3009379708170892
spatter,1.713248422050476
speckle_noise,2.0115375155448914
zoom_blur,1.9935746071100235
