,0
brightness,1.9845248413276673
contrast,3.3585651510238645
defocus_blur,1.7702608563828468
elastic_transform,1.9115709200239182
fog,2.7629433913326262
frost,2.32673979344368
gaussian_blur,1.8345055586743355
gaussian_noise,1.7850305669808388
glass_blur,1.8549101416158675
impulse_noise,1.8924127440237999
jpeg_compression,1.7193681485939025
motion_blur,1.981646169474125
pixelate,1.7100157618629932
saturate,2.1507997592639923
shot_noise,1.760373193383217
snow,2.148839401550293
spatter,1.9417014688825607
speckle_noise,1.752707181634903
zoom_blur,1.9300353607416152
