,0
brightness,0.5129
contrast,0.2024
defocus_blur,0.5572
elastic_transform,0.5783
fog,0.2462
frost,0.4831
gaussian_blur,0.5218
gaussian_noise,0.6194
glass_blur,0.5616
impulse_noise,0.5669
jpeg_compression,0.6317
motion_blur,0.5058
pixelate,0.6087
saturate,0.5336
shot_noise,0.6148
snow,0.4922
spatter,0.5565
speckle_noise,0.6151
zoom_blur,0.5435
avg,0.5237736842105263
