,0
avg,53.69382793250325
brightness,57.03140040806362
contrast,1.003433967123225
defocus_blur,55.02134377615793
elastic_transform,52.8209758680694
fog,36.596952321578044
frost,49.58414311311683
gaussian_blur,52.60847854614258
gaussian_noise,59.921529030313295
impulse_noise,58.06470660774075
jpeg_compression,59.825376938800424
motion_blur,49.8192024230957
natural,61.027184295654294
pixelate,58.18778283255441
saturate,56.76471647924306
shot_noise,60.18708489865673
snow,53.620726760552856
spatter,56.51803767924406
speckle_noise,59.85850563827826
zoom_blur,51.72114913317622
