epoch,Training_Loss,Valid_Loss,accuracy
1,2.765325013329001,4.272162246704101,0.15625
2,2.5549826061024383,3.794919967651367,0.28125
3,2.15186403428807,3.1368776321411134,0.25
4,1.9475129983004402,3.0066810607910157,0.46875
5,1.7621369221631218,2.0351613998413085,0.3125
6,1.6401847986614002,3.0276714324951173,0.46875
7,1.5614714762743782,2.4054073333740233,0.375
8,1.473895434071036,5.5267375946044925,0.65625
9,1.3764190288151013,3.511553955078125,0.53125
10,1.3198908216813032,3.9007030487060548,0.46875
11,1.2546227223732893,2.5584285736083983,0.5
12,1.1873186949421377,1.9744155883789063,0.65625
13,1.1306902222773607,2.179503631591797,0.4375
14,1.0739378385684069,1.4039079666137695,0.75
15,1.0482190549373627,2.0171871185302734,0.59375
16,0.9789092645925634,1.8899818420410157,0.90625
17,0.9110410686801461,0.8679059982299805,0.59375
18,0.9327914592097787,1.9822595596313477,0.78125
19,0.8820229348014382,2.2740638732910154,0.65625
20,0.8304505804005791,1.3459174156188964,0.84375
21,0.8323339329046362,4.366263580322266,0.65625
22,0.7969554855543024,1.4507410049438476,0.65625
23,0.7560897311743568,2.844823455810547,0.6875
24,0.7041937814039343,2.789169120788574,0.8125
25,0.6512454827042187,2.730029296875,0.78125
26,0.6353225129492143,0.826359748840332,0.8125
27,0.5846443316515755,1.2873748779296874,0.90625
28,0.5640800428741118,0.4043245792388916,0.84375
29,0.5477661078467089,2.439105224609375,0.84375
30,0.5405943384941887,1.305973434448242,0.78125
31,0.5396295864792431,4.373130798339844,0.8125
32,0.5112970278543585,3.0005256652832033,0.8125
33,0.4675246818977244,1.3341949462890625,0.875
34,0.4390087075093213,1.725236701965332,0.84375
35,0.43517699224107403,3.4301223754882812,0.96875
36,0.4233689220512615,2.0722400665283205,0.90625
37,0.3682425491073552,5.019693756103516,0.9375
38,0.37960299323586855,1.443450927734375,0.875
39,0.3233422273222138,2.904978561401367,0.84375
40,0.34715302463840036,1.1387530326843263,0.78125
41,0.32199916375033993,2.9167503356933593,0.84375
42,0.2755578013465685,1.5944808006286622,0.9375
43,0.2679354040061726,1.1351283073425293,0.875
44,0.24345143161275806,5.443622207641601,0.84375
45,0.21508770392221563,1.7898025512695312,0.96875
46,0.1881310600129997,5.162305450439453,0.9375
47,0.2917731949949966,7.236262512207031,0.90625
48,0.31548064465031905,2.315995788574219,0.9375
49,0.19873479140155456,2.127420425415039,0.9375
50,0.15233005090233157,1.637455940246582,0.96875
51,0.13244754996369867,4.668732452392578,0.96875
52,0.13031122241826618,5.456215667724609,1.0
53,0.11767908196677179,2.9397089004516603,1.0
54,0.08998944040607004,1.5540369987487792,1.0
55,0.09159982116783366,3.5421939849853517,1.0
56,0.08489998583407964,4.39627685546875,0.96875
57,0.19080708586775205,1.6936819076538085,0.96875
58,0.13959461582057617,3.1530166625976563,0.96875
59,0.08199222736498889,4.2050727844238285,1.0
60,0.06167252372731181,6.970411682128907,1.0
61,0.060634929686784744,1.7370901107788086,1.0
62,0.04385083264616482,4.351416397094726,1.0
63,0.04409375266336343,5.376343536376953,1.0
64,0.03228379487443496,4.884284210205078,1.0
65,0.024928920518826034,0.4373600482940674,1.0
66,0.022293743650045467,3.4421768188476562,1.0
67,0.02082959732369465,5.757484436035156,1.0
68,0.02682351304546875,1.4002243995666503,1.0
69,0.021563675802420166,6.637416839599609,1.0
70,0.016639315386247987,7.643489074707031,1.0
71,0.01276796919238918,2.430681037902832,1.0
72,0.014454125659540296,5.6462657928466795,1.0
73,0.011698257931343773,3.6149463653564453,1.0
74,0.028358780785792452,2.9591690063476563,1.0
75,0.055432381820591056,2.4830270767211915,0.96875
76,0.026858850765754196,6.753226470947266,1.0
77,0.03430609636501793,5.5093238830566404,0.96875
78,0.05079036729191156,2.9882205963134765,1.0
79,0.12639141104677143,0.03788568675518036,1.0
80,0.08252033202306312,1.5997992515563966,0.96875
81,0.022120446459773707,3.4910491943359374,1.0
82,0.012873853241805644,1.3243470191955566,1.0
83,0.008983669295797454,7.148011779785156,1.0
84,0.005857695065274397,1.3169025421142577,1.0
85,0.005039681002552456,6.179042053222656,1.0
86,0.004354405572966617,0.2990559577941895,1.0
87,0.0040904281743089944,5.317683410644531,1.0
88,0.0036002707784064114,5.89854621887207,1.0
89,0.0032175666933386203,6.734677124023437,1.0
90,0.0029604647561962552,9.314080047607423,1.0
91,0.0027002853629014946,1.5519393920898437,1.0
92,0.002550407083403757,4.482083129882812,1.0
93,0.0023069507647853565,6.301827239990234,1.0
94,0.002186690114767236,3.465617370605469,1.0
95,0.0020843527728335604,8.770809936523438,1.0
96,0.0019848033861147567,4.858664321899414,1.0
97,0.0017965025532141548,6.325805282592773,1.0
98,0.0017162139479563955,1.0394591331481933,1.0
99,0.0017039757427375984,7.803870391845703,1.0
100,0.001583604232805288,3.296620178222656,1.0
101,0.0015024857677738456,2.1237411499023438,1.0
102,0.0013896933113060454,10.755455017089844,1.0
103,0.0013240470246220117,6.24115219116211,1.0
104,0.0012779316286255112,12.9873779296875,1.0
105,0.0012127157670500524,2.0287803649902343,1.0
106,0.0011726107819841297,5.293594741821289,1.0
107,0.0011198265368447585,1.244304370880127,1.0
108,0.0010624048026169047,5.405242538452148,1.0
109,0.0010397127565845627,5.9622802734375,1.0
110,0.0009893413961810224,0.6167353630065918,1.0
111,0.0009436770410770003,8.061270904541015,1.0
112,0.0009146528575322865,6.235472869873047,1.0
113,0.0008716316412627587,4.443519210815429,1.0
