batch_size_4,batch_size_32,batch_size_64
0.021853655576705933,1.408609390258789,2.52231764793396
1.055143117904663,0.29311317205429077,0.7849117517471313
0.006057182792574167,0.07970109581947327,0.31245508790016174
1.1920900533368695e-06,0.03363876789808273,0.019558927044272423
0.0003772873315028846,0.08165089040994644,0.0027413207571953535
0.007712532766163349,0.0013678831746801734,0.0012181713245809078
0.0005451426841318607,6.874398241052404e-05,0.0006978378514759243
3.343668140587397e-05,0.0006894703838042915,0.00018887524493038654
0.0,0.0003695533378049731,0.00045043733553029597
1.9073413568548858e-06,0.00026217856793664396,0.0005440905806608498
6.437218871724326e-06,7.336824637604877e-05,0.0004282106237951666
5.960463766996327e-08,7.240467675728723e-05,0.00037227559369057417
4.5266468077898026e-05,5.885270729777403e-05,6.0181897424627095e-05
0.00010687808389775455,9.250364382751286e-05,0.00013431889237836003
0.00013035169104114175,0.00018444132001604885,6.767299782950431e-05
8.940695295223122e-08,0.0005343632656149566,0.0001860862539615482
2.8162370654172264e-05,0.0001347726210951805,0.00022407587675843388
0.00011442677350714803,4.943381100019906e-06,0.00035858145565725863
1.7881387748275301e-07,0.0001911451981868595,0.0001647149329073727
1.329150290985126e-05,5.6940363720059395e-05,0.00010471607674844563
5.960463766996327e-08,0.00018977237050421536,5.7109711633529514e-05
5.36441234544327e-07,8.414436888415366e-05,0.00011212013487238437
3.27825318890973e-07,0.00010066421236842871,3.856851617456414e-05
2.0861619987044833e-07,3.9787824789527804e-05,4.044980960316025e-05
1.1920926112907182e-07,5.2676503401016816e-05,4.601059481501579e-05
5.662436137754412e-07,1.2686607078649104e-05,8.613849058747292e-05
0.0,5.7726105296751484e-05,0.0001578788651386276
3.5343346098670736e-05,5.34823520865757e-05,6.47342749289237e-05
2.8995978937018663e-05,2.226697324658744e-05,5.4506621381733567e-05
3.397283944650553e-05,7.943549280753359e-05,2.2028067178325728e-05
1.650994090596214e-05,7.196026854217052e-05,4.4791540858568624e-05
8.146628533722833e-05,4.485202225623652e-06,4.813643317902461e-05
0.0,3.4915065043605864e-05,4.956722114002332e-05
0.0,5.941507697571069e-05,3.923021358787082e-05
1.1920915312657598e-06,9.62626509135589e-05,0.00016109683201648295
2.9802320611338473e-08,2.8648879379034042e-05,6.617651524720713e-05
2.8429798476281576e-05,4.336720667197369e-05,2.7781157768913545e-05
2.9802320611338473e-08,5.1539926062105224e-05,4.2532799852779135e-05
1.7880760424304754e-05,2.0300847609178163e-05,1.7330921764369123e-05
0.0,1.9172901374986395e-05,6.63982646074146e-05
5.960459361631365e-07,1.4489918612525798e-05,1.3432480955088977e-05
1.1056421499233693e-05,6.9882889874861576e-06,6.58135031699203e-05
7.12270411895588e-06,2.6089055609190837e-05,4.7283407184295356e-05
1.8775397165882168e-06,3.459167783148587e-05,2.9892933525843546e-05
7.480289696104592e-06,1.132411853177473e-05,3.0736329790670425e-05
3.5166594898328185e-06,6.235994987946469e-06,3.485549314063974e-05
0.0,2.790698636090383e-05,3.660058428067714e-05
2.089060944854282e-05,2.0113831851631403e-05,3.388017285033129e-05
6.55650239878014e-07,2.9747556254733354e-05,2.6373394575784914e-05
6.55650239878014e-07,1.1246311260038055e-05,9.95285008684732e-05
1.5198724213405512e-05,2.0005227270303294e-05,8.231559331761673e-05
5.960463766996327e-08,8.586369403928984e-06,4.527755663730204e-05
3.6954636470909463e-06,2.226718788733706e-05,1.73809785337653e-05
1.4901156930591242e-07,1.448276816518046e-05,1.6173808035091497e-05
1.7881387748275301e-07,1.7965850929613225e-05,4.748822902911343e-05
0.0,3.108706005150452e-05,2.0705070710391738e-05
3.278254041561013e-07,1.997806248255074e-05,1.5570716641377658e-05
0.0,4.115049887332134e-05,1.8421920685796067e-05
2.1874424419365823e-05,4.742184046335751e-06,3.088003722950816e-05
6.556506946253648e-07,6.4481359913770575e-06,3.888114224537276e-05
