epoch,training_loss,validation_loss,accuracy
1,2.869759138892679,7.812002182006836,0.0
2,2.8697591529173008,7.145335515340169,0.0
3,2.8697591529173008,7.812002182006836,0.058823529411764705
4,2.8697591248680565,7.145335515340169,0.058823529411764705
5,2.869759138892679,7.478668848673503,0.058823529411764705
6,2.869759138892679,7.812002182006836,0.0
7,2.869759166941923,7.478668848673503,0.11764705882352941
8,2.8697591529173008,7.478668848673503,0.0
9,2.869759138892679,7.812002182006836,0.11764705882352941
10,2.8697591529173008,7.145335515340169,0.17647058823529413
11,2.869759138892679,7.812002182006836,0.058823529411764705
12,2.8697591248680565,7.478668848673503,0.11764705882352941
13,2.869759166941923,7.478668848673503,0.058823529411764705
14,2.8697591248680565,7.478668848673503,0.058823529411764705
15,2.8697591529173008,7.812002182006836,0.058823529411764705
16,2.8697591248680565,7.145335515340169,0.058823529411764705
17,2.869759138892679,7.812002182006836,0.0
18,2.8697591248680565,7.812002182006836,0.17647058823529413
19,2.8697591529173008,7.478668848673503,0.11764705882352941
20,2.8697591809665455,7.145335515340169,0.0
21,2.8697591529173008,7.478668848673503,0.17647058823529413
22,2.869759166941923,7.478668848673503,0.0
23,2.8697591529173008,7.478668848673503,0.11764705882352941
24,2.869759138892679,7.812002182006836,0.058823529411764705
25,2.869759166941923,7.145335515340169,0.11764705882352941
26,2.869759138892679,7.812002182006836,0.11764705882352941
27,2.8697591529173008,7.812002182006836,0.058823529411764705
28,2.869759138892679,6.812002182006836,0.0
29,2.869759138892679,7.812002182006836,0.0
30,2.8697591529173008,7.145335515340169,0.11764705882352941
31,2.8697591529173008,7.812002182006836,0.0
32,2.869759138892679,7.812002182006836,0.058823529411764705
33,2.8697591248680565,7.478668848673503,0.11764705882352941
34,2.8697591248680565,7.812002182006836,0.058823529411764705
35,2.869759138892679,7.812002182006836,0.11764705882352941
36,2.869759166941923,7.812002182006836,0.0
37,2.869759138892679,7.812002182006836,0.058823529411764705
38,2.8697591529173008,7.812002182006836,0.0
39,2.8697591248680565,7.812002182006836,0.058823529411764705
40,2.8697591248680565,7.478668848673503,0.0
41,2.8697591248680565,7.812002182006836,0.058823529411764705
42,2.869759138892679,7.812002182006836,0.11764705882352941
43,2.8697591529173008,7.812002182006836,0.058823529411764705
44,2.8697591248680565,7.812002182006836,0.058823529411764705
45,2.8697591529173008,7.812002182006836,0.0
46,2.8697591248680565,7.812002182006836,0.058823529411764705
47,2.8697591529173008,7.812002182006836,0.0
48,2.8697591248680565,7.812002182006836,0.058823529411764705
49,2.869759138892679,7.812002182006836,0.058823529411764705
50,2.869759138892679,7.478668848673503,0.0
51,2.8697591248680565,7.812002182006836,0.058823529411764705
52,2.8697591248680565,7.478668848673503,0.058823529411764705
53,2.8697591248680565,7.812002182006836,0.058823529411764705
54,2.869759138892679,7.812002182006836,0.0
55,2.8697591248680565,7.145335515340169,0.11764705882352941
56,2.8697591248680565,7.478668848673503,0.0
57,2.869759166941923,7.812002182006836,0.0
58,2.869759138892679,6.812002182006836,0.058823529411764705
59,2.869759138892679,7.145335515340169,0.17647058823529413
60,2.8697591529173008,7.812002182006836,0.0
61,2.8697591248680565,7.812002182006836,0.0
62,2.869759138892679,7.478668848673503,0.0
63,2.869759138892679,7.478668848673503,0.0
64,2.869759166941923,7.478668848673503,0.058823529411764705
65,2.869759138892679,7.478668848673503,0.058823529411764705
66,2.869759138892679,7.812002182006836,0.058823529411764705
67,2.8697591248680565,7.478668848673503,0.058823529411764705
68,2.8697591248680565,7.812002182006836,0.058823529411764705
69,2.869759138892679,7.812002182006836,0.058823529411764705
70,2.8697591529173008,7.478668848673503,0.11764705882352941
71,2.869759138892679,7.478668848673503,0.17647058823529413
72,2.8697591248680565,7.812002182006836,0.0
73,2.8697591248680565,7.145335515340169,0.17647058823529413
74,2.869759138892679,7.812002182006836,0.058823529411764705
75,2.8697591529173008,7.145335515340169,0.058823529411764705
