,batch_size_64
0,2.8881328105926514
1,2.6739377975463867
2,2.7492873668670654
3,2.5369374752044678
4,2.4099133014678955
5,2.4339828491210938
6,2.3922040462493896
7,2.347400665283203
8,2.2296671867370605
9,2.2613296508789062
10,2.2984516620635986
11,2.1471328735351562
12,1.9602210521697998
13,1.8838478326797485
14,2.0259580612182617
15,1.8556920289993286
16,1.853583574295044
17,2.025306224822998
18,1.5656441450119019
19,1.6565489768981934
20,1.6102415323257446
21,1.4999163150787354
22,1.6649616956710815
23,1.8144359588623047
24,1.608978271484375
25,1.1821602582931519
26,1.2758266925811768
27,1.3933948278427124
28,1.3964842557907104
29,1.4668952226638794
30,1.3744184970855713
31,1.199010968208313
32,1.0137274265289307
33,1.1912974119186401
34,1.0906528234481812
35,0.941927969455719
36,0.9695528149604797
37,0.6891168355941772
38,0.8165673613548279
39,0.8337515592575073
40,0.8278360962867737
41,0.799913227558136
42,0.6594145894050598
43,0.7030418515205383
44,0.49638986587524414
45,0.4736904501914978
46,0.457958459854126
47,0.36210718750953674
48,0.5097328424453735
49,0.4403120279312134
50,0.44374141097068787
51,0.3598105311393738
52,0.38082173466682434
53,0.389813095331192
54,0.3554378151893616
55,0.35933130979537964
56,0.4436444640159607
57,0.27242523431777954
58,0.2762983739376068
59,0.21509921550750732
