,batch_size_64
0,2.837649345397949
1,2.8164305686950684
2,2.8295793533325195
3,2.802598237991333
4,2.6695003509521484
5,2.441210985183716
6,2.418827772140503
7,2.220724105834961
8,2.1086716651916504
9,2.144029140472412
10,1.9221538305282593
11,1.971996784210205
12,2.1742985248565674
13,1.6945503950119019
14,1.8109978437423706
15,1.6241955757141113
16,1.336661696434021
17,1.7231194972991943
18,1.2327910661697388
19,1.7822669744491577
20,1.512871503829956
21,1.4379316568374634
22,1.3845818042755127
23,0.9873735308647156
24,1.3095020055770874
25,1.3155485391616821
26,1.2224094867706299
27,1.2244198322296143
28,1.2666460275650024
29,0.7622718214988708
30,1.1103848218917847
31,0.5848968625068665
32,0.7229148745536804
33,0.6410624384880066
34,0.6387935280799866
35,0.5661223530769348
36,0.7101690769195557
37,0.7393020391464233
38,0.6434922218322754
39,0.5968794226646423
40,0.3196365535259247
41,0.43968257308006287
42,0.40698909759521484
43,0.2932688593864441
44,0.48979997634887695
45,0.4051167368888855
46,0.35140785574913025
47,0.24904926121234894
48,0.2347533106803894
49,0.26435378193855286
50,0.09686008840799332
51,0.6156877279281616
52,0.30883461236953735
53,0.18975868821144104
54,0.2564665973186493
55,0.18954657018184662
56,0.24770833551883698
57,0.21160411834716797
58,0.16314543783664703
59,0.09215081483125687
