,0
brightness,0.5476
contrast,0.205
defocus_blur,0.5982
elastic_transform,0.618
fog,0.2766
frost,0.5112
gaussian_blur,0.5709
gaussian_noise,0.649
glass_blur,0.6041
impulse_noise,0.6048
jpeg_compression,0.6612
motion_blur,0.5528
pixelate,0.6467
saturate,0.5703
shot_noise,0.6519
snow,0.5342
spatter,0.5907
speckle_noise,0.6471
zoom_blur,0.574
avg,0.5586473684210527
