,0
brightness,2.893242221736908
contrast,6.04333441619873
defocus_blur,2.315795506429672
elastic_transform,2.219185589885712
fog,5.049138697433472
frost,3.0799066107273103
gaussian_blur,2.4867651532649995
gaussian_noise,2.151294692325592
glass_blur,2.3097074522972108
impulse_noise,2.507754825639725
jpeg_compression,1.99257992836833
motion_blur,2.6766334686279296
pixelate,2.044539451599121
saturate,2.6543196011543273
shot_noise,2.1188187714457514
snow,2.9556520577907563
spatter,2.477407139849663
speckle_noise,2.085193651342392
zoom_blur,2.455125594472885
