,0
brightness,1.074907236468047
contrast,5.281048899459839
defocus_blur,2.137264574980736
elastic_transform,1.5579559447228908
fog,3.0864436483383177
frost,1.7293846820771694
gaussian_blur,2.446329022073746
gaussian_noise,2.4877222892761233
glass_blur,2.544900168132782
impulse_noise,3.831316962528229
jpeg_compression,1.1690555348075926
motion_blur,2.1486327499747278
pixelate,1.6522896642267704
saturate,1.259512943227589
shot_noise,2.298551924470067
snow,1.3946408517954871
spatter,1.7861052266716957
speckle_noise,2.327492010450363
zoom_blur,1.939608442568779
