,0
brightness,0.7904
contrast,0.22
defocus_blur,0.6152
elastic_transform,0.7067
fog,0.4839
frost,0.6899
gaussian_blur,0.5743
gaussian_noise,0.605
glass_blur,0.5711
impulse_noise,0.4339
jpeg_compression,0.7709
motion_blur,0.6159
pixelate,0.7043
saturate,0.7638
shot_noise,0.6276
snow,0.7305
spatter,0.6715
speckle_noise,0.6246
zoom_blur,0.6459
avg,0.6234421052631579
