,0
brightness,0.9193910354516329
contrast,2.4304925332164764
defocus_blur,1.2840092904222757
elastic_transform,1.301464038833864
fog,1.6282846625936032
frost,1.2908409993933887
gaussian_blur,1.500251527890861
gaussian_noise,1.784429786425829
glass_blur,2.1881085834407807
impulse_noise,2.3630700814199446
jpeg_compression,1.0717598284054175
motion_blur,1.606275586694479
pixelate,1.1376775110657513
saturate,1.0615031557402388
shot_noise,1.5394527171049268
snow,1.325617260271907
spatter,1.393139696917981
speckle_noise,1.5502325560556351
zoom_blur,1.4443308573361486
