,0
brightness,2.3120336509132384
contrast,3.9265613360214235
defocus_blur,2.0757895818567276
elastic_transform,2.244897574888468
fog,3.285260109567642
frost,2.75733792591095
gaussian_blur,2.1604445718759298
gaussian_noise,2.050731723868847
glass_blur,2.1775902379179
impulse_noise,2.185341545453072
jpeg_compression,1.981544808253646
motion_blur,2.3436841536831854
pixelate,2.0022225295215845
saturate,2.3308609126091
shot_noise,2.0159798724746705
snow,2.4735832880973816
spatter,2.242250700567961
speckle_noise,2.0024700080788134
zoom_blur,2.2243235876870155
